composite,action,priority,member,threshold,weight,proposed_role,candidate_base
899-SA-Trend-Breaks,SA,899,MACDH Direction,-1,10,gate,BASE-Bull-Trend
899-SA-Trend-Breaks,SA,899,MACD Direction,-1,10,gate,BASE-Bull-Trend
899-SA-Trend-Breaks,SA,899,Trade-Rule,-1,10,gate,BASE-Bull-Trend
899-SA-Trend-Breaks,SA,899,Trend Cross Over,-1,10,gate,
898-SA-Streak-VeryBad,SA,898,MACDH Direction,-1,10,gate,BASE-Bull-Trend
898-SA-Streak-VeryBad,SA,898,MACD Direction,-1,10,gate,BASE-Bull-Trend
898-SA-Streak-VeryBad,SA,898,Trade-Rule,-2,10,gate,BASE-Bull-Trend
898-SA-Streak-VeryBad,SA,898,Perf3D SD Rule,-2,10,gate,
898-SA-Streak-VeryBad,SA,898,BBStreak Rule,-3,10,gate,
898-SA-Streak-VeryBad,SA,898,BBStreak Days Up Rule,1,10,gate,
897-SW-Vlm-Spike-Price-Dn,SW,897,VS LT Outlook Rule,-3,10,gate,BASE-Bull-Context;BASE-Bear-Context
896-SA-TRbelowTN-Trade-Breaks,SA,896,MACDH Direction,-1,10,gate,BASE-Bull-Trend
896-SA-TRbelowTN-Trade-Breaks,SA,896,MACD Direction,-1,10,gate,BASE-Bull-Trend
896-SA-TRbelowTN-Trade-Breaks,SA,896,Trade Cross Over,-1,10,gate,
896-SA-TRbelowTN-Trade-Breaks,SA,896,Trade Trend Relation,-1,10,gate,
895-SA-!TN!TD!Bull-TRR-Rev,SA,895,Trade-Rule,-2,10,gate,BASE-Bull-Trend
895-SA-!TN!TD!Bull-TRR-Rev,SA,895,Trend-Rule,-1,10,gate,BASE-Bull-Trend
895-SA-!TN!TD!Bull-TRR-Rev,SA,895,BRR% LRR,2,10,gate,BASE-RR-Position
895-SA-!TN!TD!Bull-TRR-Rev,SA,895,Perf3D SD Rule,1,10,gate,
895-SA-!TN!TD!Bull-TRR-Rev,SA,895,Perf1D SD Rule,-1,10,gate,BASE-Bull-Context
895-SA-!TN!TD!Bull-TRR-Rev,SA,895,BBStreak Rule2,0,10,gate,
895-SA-!TN!TD!Bull-TRR-Rev,SA,895,BBStreak Days Up Rule2,2,10,gate,
895-SA-!TN!TD!Bull-TRR-Rev,SA,895,PerfOrBull Rule,2,10,gate,
894-SA-!Bull-TN-TRR,SA,894,Trade-Rule,0,10,gate,BASE-Bull-Trend
894-SA-!Bull-TN-TRR,SA,894,BRR% TRR Puts,-3,10,gate,BASE-RR-Position
894-SA-!Bull-TN-TRR,SA,894,!Perf1D SD Rule,-1,10,gate,
894-SA-!Bull-TN-TRR,SA,894,PerfOrBull Rule,2,10,gate,
893-SA-TRR-blw-TN,SA,893,Trade-Rule,0,10,gate,BASE-Bull-Trend
893-SA-TRR-blw-TN,SA,893,Trend-Rule,0,10,gate,BASE-Bull-Trend
893-SA-TRR-blw-TN,SA,893,BRR% LRR,2,10,gate,BASE-RR-Position
893-SA-TRR-blw-TN,SA,893,Trend below TRR,-1,10,gate,
893-SA-TRR-blw-TN,SA,893,!Perf1D SD Rule,-1,10,gate,
889-STM-OverBought,STM,889,BRR% TRR Puts,-3,10,gate,BASE-RR-Position
889-STM-OverBought,STM,889,IVPercentile Puts,-3,10,gate,
889-STM-OverBought,STM,889,HVPercentile Puts,-3,10,gate,
889-STM-OverBought,STM,889,IVHV Puts (modified),-2,10,gate,
889-STM-OverBought,STM,889,RSI Puts,-3,10,gate,BASE-Bear-Context
889-STM-OverBought,STM,889,MACD_BRR Puts,-3,10,gate,
889-STM-OverBought,STM,889,MACDH_BRR Puts,-3,10,gate,BASE-Bear-Context
888-STM-!Bull-BBTh-Crossover-RSI-IVHV,STM,888,BBThresh Crossover,-1,10,gate,
888-STM-!Bull-BBTh-Crossover-RSI-IVHV,STM,888,IVPercentile Puts,-3,10,gate,
888-STM-!Bull-BBTh-Crossover-RSI-IVHV,STM,888,HVPercentile Puts,-3,10,gate,
