drv_cat_table,column_count,sample_columns
drv_cat_atomic_input,113,JG=MACDH Direction | JH=MACD Direction | JI=BB Direction | JJ=BB Threshold | JK=BBThresh CO Days | JL=BBThresh_CO_Days2
drv_cat_misc,79,R=Y Latest Exp Date | S=Use Latest | W=FH Date | BG=3mn_min_BRR% | CU=D_IV | CV=D_HV
drv_cat_composite,66,NQ==Trig!O1 | NR==Trig!Q1 | NS==Trig!S1 | NT==Trig!U1 | NU==Trig!W1 | NV==Trig!Y1
drv_cat_price,55,D=Close | F=Last | G=Last Net Chng | H=Last %Change | I=High | J=Low
drv_cat_action,47,TY=^L2 | TZ=^L3 | UA=#Actionable | UC=Neg Outlook | UD=Pos Outlook | UE=Fidelity
drv_cat_quad_outlook,45,GN=Momentum | GO=Momentum | HH=Asset Class | HK=Sub Asset Class | HM=Growth - Sector Based | HN=Growth - Econ Based
drv_cat_bollinger,36,AJ=A_BBHighLow | AK=BBHighLow_A | AL=BBHighLow | AM=BBHighLowDays | AN=BB_Direction1 | AO=BBHighLow_SD
drv_cat_holdings,33,X=CS Date | BJ=3mn_stk_outlook_sd | BN=3w_stk_outlook_sd | GL=Trend context | GM=Trend context | QV=PS Outlook
drv_cat_trig_summary,26,SJ=Trig Matched Rule1 | SK=Trig M Rule2 | SL=Trig M Rule3 | SM=Trig M Rule4 | SN=Trig M Rule5 | SO=Trig M Rule6
drv_cat_volume,24,FF=A_VolumeSpike | FG=VolumeSpike | FH=VS Spike | FI=VS Volume Spike | FJ=VS Price Change | FK=VS Price Change SD
drv_cat_risk_range,18,K=RR LRR | L=RR TRR | Y=RR Date | DX=RR_Bottom | DY=RR_Top | DZ=RR BRR%
drv_cat_perf_extremes,16,BP=Perf3M | BQ=Perf3M_sd | BR=A_Perf2M | BS=Perf2M_sd | BT=Perf3W | BU=Perf3W_sd
drv_cat_trend_trade,14,AE=A_TrendValue | AF=A_TradeValue | AG=Trend_sd | AH=Trade_sd | AI=Trade_Trend_Sd | GP=Long Trend Total
drv_cat_identity,11,A=Key | B=Symbol | C=Y Symbol | E=Company Name | M=TOS Daily Export Date | N=TOS Weekly Export Date
drv_cat_fundamentals,9,GX=Beta | GY=Market Cap | GZ=Long-term Debt to Capital - Current (LTM) | HC=Return on Equity (ROE) - Current (LTM) | HE=Div. Yield - Current | HT=Dividend?
drv_cat_sector_rollup,6,FL=VS Volatility | FM=VS Days | HF=Sector | HI=Sctr!Sector | HJ=Sector | VS=Sector Ticker
drv_cat_etf,5,U=ETF Date | EA=ETF_Bottom | EB=ETF_Top | QX=ETF | RO=ETF Date
drv_cat_macd,5,CI=A_MACD_BRR | CJ=MACD_BRR | CK=A_MACDH_D_BRR | CL=MACDH_BRR | CM=A_MACDays_Streak
drv_cat_volatility_regime,5,GH=Volatility regime | GI=Volatility regime | GJ=Price zone | GK=Price zone | WL=Volatility regime
drv_cat_ii,4,T=II Date | QZ=II Chg | RA=II Final | RP=II Date
drv_cat_moving_avg,4,CF=20 DMA | CG=50 DMA | CH=200 DMA | UP=TnTdMax$
drv_cat_index_volatility,4,IV=SP500 Volatility | IW=Nasdaq Volatility | IX=Dow Volatility | IY=RusSell Volatility
drv_cat_rsi,3,CT=D_RSI | DE=L_RSI | DS=RSI
drv_cat_ivhv,3,CW=HVPercentile | CX=IVPercentile | FR=IVHV
drv_cat_ps,3,QU=PS Rk | QW=PSRk Chg | RN=PS Date
drv_cat_signal_strength,2,V=SSH Date | RY=SSS Date
drv_cat_earnings,2,HA=Price / Earnings Ratio - Current | JB=EarningsDays
drv_cat_separator,2,JF=Begin | NP=End
drv_cat_he_outlook,1,VT=HE OL - Sector
