row,name_a,name_b,brkeout_from,brkeout_to,wt_below,wt_between,wt_above,col_h,col_i,col_j,ma_source_sheet,ma_column_name,notes
4,,,,,,,,,,,MA,Begin,-1
5,,,,,,,,,1,1,MA,MACDH Direction,2
6,,,,,,,,,,1,MA,MACD Direction,-1
7,,,,,,,,,1,,MA,BB Direction,1
8,BB_Threshold_Crossover,,,,,,,1,,1,MA,BBThresh Crossover,-1
9,,BBThresh_CO_Days,4,7,1,2,3,13,,,MA,BBThresh CO Days,1
10,BBThresh_CO_Days,BBThresh_CO_Days2,2,5,1,2,3,13,,1,MA,BBThresh CO Days2,1
11,,,,,,,,,1,1,MA,Trade Cross Over,1
12,,Trade_sd,1,5,1,2,3,4.337962962962965,1,1,MA,Trade-Rule,1
13,,,,,,,,,1,1,MA,!Trade Rule,3
14,,,,,,,,,1,1,MA,Trend Cross Over,-3
15,,Trend_sd,3,12,1,2,3,1.9837962962962978,1,1,MA,Trend-Rule,-3
16,,,,,,,,,1,1,MA,!Trend Rule,1
17,,,,,,,,,,,MA,Trend Trade Dep Rule,1
18,,,,,,,,,,1,MA,Trade Trend Relation,1
19,,,,,,,,,1,1,MA,!Trade Trend Relation,-1
20,,Trade_Trend_Sd,3,12,1,2,3,-2.354166666666667,,,MA,Trade Trend SD Rule,0
21,BRR%,BRR% Rule,60,75,3,2,1,,1,,MA,BRR% Rule,1
22,BRR%,BRR% LRR,35,75,3,2,1,,1,1,MA,BRR% LRR,1
23,BRR%,BRR% R2,25,75,3,2,1,,,,MA,BRR% R2,1
24,BRR%,BRR% LRR2,50,75,3,2,1,,1,,MA,BRR% LRR2,1
25,BRR%,BRR% TRR,50,83,1,2,3,,1,,MA,BRR% TRR,1
26,BRR%,BRR% Puts,55,80,-1,-2,-3,,1,,MA,BRR% Puts,1
27,BRR%,BRR% TRR Puts,45,83,-1,-2,-3,,1,1,MA,BRR% TRR Puts,-3
28,,,,,,,,,,,MA,BRR% Dir Rule,1
29,,High TRR,0,2,1,2,3,-22.34027777777778,,1,MA,High above TRR,-2
30,,Low LRR,0,2,3,2,1,21.069444444444443,1,,MA,Low below LRR,1
31,,,,,,,,,,1,MA,Trend below TRR,-3
32,,,,,,,,,1,1,MA,LRR above Trade,1
33,Sd TRR,TRR_Idx,-0.25,1,-1,0,1,22.34027777777778,,,MA,TRR_Idx,2
34,Sd MRR,MRR_Idx,-0.25,0.25,-1,0,1,22.166666666666668,,,MA,MRR_Idx,2
35,Sd LRR,LRR_Idx,-0.25,1,-1,0,1,21.069444444444443,,,MA,LRR_Idx,-2
36,HistoricalVolatility,HVAbsolute,0.12,0.4,2,3,1,#N/A,,,MA,HVAbsolute,3
37,ImpVolatility,IVAbsolute,0.2,0.4,3,2,1,0.59,,,MA,IVAbsolute,3
38,IVPercentile,IVPercentile,25,70,3,2,1,96.4,1,,MA,IVPercentile,-3
39,IVPercentile,IVPercentile Puts,35,90,-1,-2,-3,96.4,1,1,MA,IVPercentile Puts,1
40,HVPercentile,HVPercentile,25,70,3,2,1,74.1,1,,MA,HVPercentile,2
41,HVPercentile,HVPercentile Puts,35,90,-1,-2,-3,74.1,1,1,MA,HVPercentile Puts,1
42,,IVHV,100,125,3,2,1,128.26086956521738,1,,MA,IVHV Rule (modified),2
43,IVHV,IVHV Puts,100,125,-1,-2,-3,128.26086956521738,,1,MA,IVHV Puts (modified),3
44,,,,,,,,,,,MA,IVRule,2
45,,RSI,45,70,3,2,1,69.17,1,1,MA,RSI Rule,2
46,RSI,RSI Top,65,80,1,2,3,69.17,,,MA,RSI Top,2
47,RSI,RSI Puts,60,75,-1,-2,-3,69.17,1,1,MA,RSI Puts,-2
48,,3mnLow_sd,3,5,1,2,3,5.638888888888888,1,,MA,3m-Low-Rule,3
49,,3mnLowDays,20,35,1,2,3,40.00000000000057,,,MA,3m-Low-Days Rule,1
50,,3mnHigh_sd,2,5,3,2,1,-0.41203703703703726,,1,MA,3mn-High-Rule,-1
51,,3mnHighDays,6,15,3,2,1,54.000000000000625,,1,MA,3mn-High-Dyas Rule,-2
52,,,,,,,,,,,MA,3mn Long Rule,-1
53,,Perf3M_sd,4,12,1,2,3,1.9837962962962978,,,MA,Perf3mn SD Rule,1
54,,Perf2M_sd,3,8,1,2,3,6.541383333333335,,,MA,Perf2M SD Rule,3
55,,Perf3W_sd,2,3,1,2,3,4.337962962962965,,1,MA,Perf3wk SD Rule,1
56,,Perf2Wk_sd,1,2,1,2,3,1.6758000000000002,1,,MA,Perf2wk SD Rule,-3
57,Perf3D_sd,Perf3D_sd,0.5,1,1,2,3,0.89775,1,1,MA,Perf3D SD Rule,3
58,Perf1D_sd,Perf1D_sd,1,2,1,2,3,1.0694444444444444,1,1,MA,Perf1D SD Rule,1
59,,,,,,,,,,1,MA,!Perf1D SD Rule,3
60,Perf3D_sd,Perf3D_sd_1off,5,7,3,2,1,0.89775,1,,MA,Perf3D 1Off Rule,1
61,,,,,,,,,1,,MA,Perf SD Rule,3
62,,,,,,,,,,,MA,!Perf SD Rule,-3
63,,,,,,,,,,,MA,!Perf3D Rule,1
64,,BBHighLow_SD,2,8,1,2,3,-0.1736111111111111,1,,MA,BBHighLow_SD Rule,3
65,,BBHighLowDays,4,9,1,2,3,1,1,1,MA,BBHighLow Days Rule,3
66,,BB_Streak,3,6,1,2,3,8,1,1,MA,BBStreak Rule,2
67,,BBStreakRule1,3,6,3,2,1,1,1,,MA,BBStreak Rule1,2
68,BB_Streak,BBStreak Rule2,4,6,-1,-2,-3,8,1,1,MA,BBStreak Rule2,-3
69,,BB_Streak_Days,4,10,3,2,1,1,1,,MA,BBStreak Days Rule,-2
