composite_rule_code,atomic_row,weight
899-SA-Trend-Breaks,5,-1
899-SA-Trend-Breaks,6,-1
899-SA-Trend-Breaks,12,-1
899-SA-Trend-Breaks,14,-1
898-SA-Streak-VeryBad,5,-1
898-SA-Streak-VeryBad,6,-1
898-SA-Streak-VeryBad,12,-2
898-SA-Streak-VeryBad,57,-2
898-SA-Streak-VeryBad,66,-3
898-SA-Streak-VeryBad,70,1
897-SW-Vlm-Spike-Price-Dn,112,-3
896-SA-TRbelowTN-Trade-Breaks,5,-1
896-SA-TRbelowTN-Trade-Breaks,6,-1
896-SA-TRbelowTN-Trade-Breaks,11,-1
896-SA-TRbelowTN-Trade-Breaks,18,-1
895-SA-!TN!TD!Bull-TRR-Rev,12,-2
895-SA-!TN!TD!Bull-TRR-Rev,15,-1
895-SA-!TN!TD!Bull-TRR-Rev,22,2
895-SA-!TN!TD!Bull-TRR-Rev,57,1
895-SA-!TN!TD!Bull-TRR-Rev,58,-1
895-SA-!TN!TD!Bull-TRR-Rev,68,0
895-SA-!TN!TD!Bull-TRR-Rev,72,2
895-SA-!TN!TD!Bull-TRR-Rev,95,2
894-SA-!Bull-TN-TRR,12,0
894-SA-!Bull-TN-TRR,27,-3
894-SA-!Bull-TN-TRR,59,-1
894-SA-!Bull-TN-TRR,95,2
893-SA-TRR-blw-TN,12,0
893-SA-TRR-blw-TN,15,0
893-SA-TRR-blw-TN,22,2
893-SA-TRR-blw-TN,31,-1
893-SA-TRR-blw-TN,59,-1
889-STM-OverBought,27,-3
889-STM-OverBought,39,-3
889-STM-OverBought,41,-3
889-STM-OverBought,43,-2
889-STM-OverBought,47,-3
889-STM-OverBought,80,-3
889-STM-OverBought,81,-3
888-STM-!Bull-BBTh-Crossover-RSI-IVHV,8,-1
888-STM-!Bull-BBTh-Crossover-RSI-IVHV,39,-3
888-STM-!Bull-BBTh-Crossover-RSI-IVHV,41,-3
888-STM-!Bull-BBTh-Crossover-RSI-IVHV,43,-2
888-STM-!Bull-BBTh-Crossover-RSI-IVHV,47,-3
888-STM-!Bull-BBTh-Crossover-RSI-IVHV,95,2
887-STM-!Bull--BBTh-Crossover-RSI-IV,8,-1
887-STM-!Bull--BBTh-Crossover-RSI-IV,39,-3
887-STM-!Bull--BBTh-Crossover-RSI-IV,41,-3
887-STM-!Bull--BBTh-Crossover-RSI-IV,47,-3
887-STM-!Bull--BBTh-Crossover-RSI-IV,95,2
859-SS-Bull-BBTh-Crossover-RSI-IVHV,8,-1
859-SS-Bull-BBTh-Crossover-RSI-IVHV,39,-3
859-SS-Bull-BBTh-Crossover-RSI-IVHV,41,-3
859-SS-Bull-BBTh-Crossover-RSI-IVHV,43,-2
859-SS-Bull-BBTh-Crossover-RSI-IVHV,47,-3
859-SS-Bull-BBTh-Crossover-RSI-IVHV,96,-3
858-SS-Bull-BBTh-Crossover-RSI-IV,8,-1
858-SS-Bull-BBTh-Crossover-RSI-IV,39,-3
858-SS-Bull-BBTh-Crossover-RSI-IV,41,-3
858-SS-Bull-BBTh-Crossover-RSI-IV,47,-3
858-SS-Bull-BBTh-Crossover-RSI-IV,96,-3
857-SS-BBTh-Crossover-RSIOnly,8,-1
857-SS-BBTh-Crossover-RSIOnly,47,-3
798-STM-!Bull-TRR-Rev,5,0
798-STM-!Bull-TRR-Rev,22,2
798-STM-!Bull-TRR-Rev,57,1
798-STM-!Bull-TRR-Rev,58,-1
798-STM-!Bull-TRR-Rev,59,0
798-STM-!Bull-TRR-Rev,68,0
798-STM-!Bull-TRR-Rev,71,2
798-STM-!Bull-TRR-Rev,72,2
798-STM-!Bull-TRR-Rev,95,2
796-SW-!Bull-BBTh-Crossover,8,-1
796-SW-!Bull-BBTh-Crossover,10,1
796-SW-!Bull-BBTh-Crossover,95,2
793-STM-!TD!Bull-TRR-Rev,12,-1
793-STM-!TD!Bull-TRR-Rev,16,-1
793-STM-!TD!Bull-TRR-Rev,22,2
793-STM-!TD!Bull-TRR-Rev,57,1
793-STM-!TD!Bull-TRR-Rev,58,-1
793-STM-!TD!Bull-TRR-Rev,68,0
793-STM-!TD!Bull-TRR-Rev,72,2
793-STM-!TD!Bull-TRR-Rev,95,2
792-STM-Bull-TN-TD-TRR-RSI-IV,13,0
792-STM-Bull-TN-TD-TRR-RSI-IV,27,-3
792-STM-Bull-TN-TD-TRR-RSI-IV,39,-3
792-STM-Bull-TN-TD-TRR-RSI-IV,41,-3
792-STM-Bull-TN-TD-TRR-RSI-IV,43,-2
792-STM-Bull-TN-TD-TRR-RSI-IV,47,-3
792-STM-Bull-TN-TD-TRR-RSI-IV,59,-1
792-STM-Bull-TN-TD-TRR-RSI-IV,95,2
791-STM-!Bull-HighAbvTRR,29,1
791-STM-!Bull-HighAbvTRR,95,2
789-SS-!Bull-OverBought,22,1
789-SS-!Bull-OverBought,39,-2
789-SS-!Bull-OverBought,41,-2
789-SS-!Bull-OverBought,47,-3
789-SS-!Bull-OverBought,80,-3
789-SS-!Bull-OverBought,81,-3
789-SS-!Bull-OverBought,95,2
788-SS-!Bull-TN-TD-TRR,13,0
788-SS-!Bull-TN-TD-TRR,27,-3
788-SS-!Bull-TN-TD-TRR,32,0
788-SS-!Bull-TN-TD-TRR,59,-1
788-SS-!Bull-TN-TD-TRR,95,2
787-SS-Bull-TRR-Rev,5,-1
787-SS-Bull-TRR-Rev,27,-2
787-SS-Bull-TRR-Rev,57,-1
787-SS-Bull-TRR-Rev,58,-1
787-SS-Bull-TRR-Rev,65,1
787-SS-Bull-TRR-Rev,68,0
787-SS-Bull-TRR-Rev,71,1
787-SS-Bull-TRR-Rev,96,-3
786-SS-Bull-OverBought,27,-3
786-SS-Bull-OverBought,39,-3
786-SS-Bull-OverBought,41,-3
786-SS-Bull-OverBought,47,-3
786-SS-Bull-OverBought,80,-3
786-SS-Bull-OverBought,81,-3
786-SS-Bull-OverBought,96,-3
785-SS-Trade-Breaks,5,-1
785-SS-Trade-Breaks,6,-1
785-SS-Trade-Breaks,11,-1
785-SS-Trade-Breaks,19,-1
785-SS-Trade-Breaks,58,0
784-SS-Streak-GoingBad,5,-1
784-SS-Streak-GoingBad,6,-1
784-SS-Streak-GoingBad,55,-2
784-SS-Streak-GoingBad,57,-2
784-SS-Streak-GoingBad,66,-2
784-SS-Streak-GoingBad,72,1
783-SW-Vol-Spke-Price-Dn-Past,112,-2
782-SS-3mnHigh,45,1
782-SS-3mnHigh,50,-3
782-SS-3mnHigh,51,2
782-SS-3mnHigh,59,-1
781-SS-TRR-CloseToTrade,27,-3
781-SS-TRR-CloseToTrade,104,-1
699-SW-Resistance,105,-0.5
698-SS-Bull-HighAbvTRR,29,1
698-SS-Bull-HighAbvTRR,96,-3
697-STM-Earnings-Date,107,-3
449-B-TN-TD-LRR-UP-MACD,12,0
449-B-TN-TD-LRR-UP-MACD,15,2
449-B-TN-TD-LRR-UP-MACD,27,-1
449-B-TN-TD-LRR-UP-MACD,32,1
449-B-TN-TD-LRR-UP-MACD,42,3
449-B-TN-TD-LRR-UP-MACD,44,0
449-B-TN-TD-LRR-UP-MACD,45,2
449-B-TN-TD-LRR-UP-MACD,58,0
449-B-TN-TD-LRR-UP-MACD,60,3
449-B-TN-TD-LRR-UP-MACD,112,0
448-BS-TN-TD-LRR,12,0
448-BS-TN-TD-LRR,15,2
448-BS-TN-TD-LRR,22,3
448-BS-TN-TD-LRR,32,1
448-BS-TN-TD-LRR,45,2
448-BS-TN-TD-LRR,60,3
448-BS-TN-TD-LRR,112,0
399-B-TN-TD-LRR-UP-MACD,12,0
399-B-TN-TD-LRR-UP-MACD,15,2
399-B-TN-TD-LRR-UP-MACD,27,-1
399-B-TN-TD-LRR-UP-MACD,42,3
399-B-TN-TD-LRR-UP-MACD,44,0
399-B-TN-TD-LRR-UP-MACD,45,2
399-B-TN-TD-LRR-UP-MACD,58,0
399-B-TN-TD-LRR-UP-MACD,60,3
399-B-TN-TD-LRR-UP-MACD,81,-2
399-B-TN-TD-LRR-UP-MACD,83,2
399-B-TN-TD-LRR-UP-MACD,112,0
398-B-TN-TD-LRR-UP-DAY,12,0
398-B-TN-TD-LRR-UP-DAY,15,2
398-B-TN-TD-LRR-UP-DAY,27,-1
398-B-TN-TD-LRR-UP-DAY,42,3
398-B-TN-TD-LRR-UP-DAY,44,0
398-B-TN-TD-LRR-UP-DAY,45,2
398-B-TN-TD-LRR-UP-DAY,57,2
398-B-TN-TD-LRR-UP-DAY,58,0
398-B-TN-TD-LRR-UP-DAY,60,3
398-B-TN-TD-LRR-UP-DAY,81,-2
398-B-TN-TD-LRR-UP-DAY,112,0
397-B-TN-TD-LRR,12,0
397-B-TN-TD-LRR,15,2
397-B-TN-TD-LRR,22,3
397-B-TN-TD-LRR,42,3
397-B-TN-TD-LRR,44,0
397-B-TN-TD-LRR,45,2
397-B-TN-TD-LRR,60,3
397-B-TN-TD-LRR,80,-2
397-B-TN-TD-LRR,81,-2
397-B-TN-TD-LRR,112,0
396-BS-LRR-CloseToTrade,15,2
396-BS-LRR-CloseToTrade,22,3
396-BS-LRR-CloseToTrade,60,3
396-BS-LRR-CloseToTrade,103,1
396-BS-LRR-CloseToTrade,112,0
395-BS-TN-TD-LRR,12,0
395-BS-TN-TD-LRR,15,2
395-BS-TN-TD-LRR,22,3
395-BS-TN-TD-LRR,45,2
395-BS-TN-TD-LRR,60,3
395-BS-TN-TD-LRR,112,0
394-BS-TN-LRR,12,-1
394-BS-TN-LRR,13,1
394-BS-TN-LRR,15,2
394-BS-TN-LRR,22,3
394-BS-TN-LRR,45,2
394-BS-TN-LRR,60,3
394-BS-TN-LRR,112,0
299-BS-BB-Streak-HiHi-TN-TD,5,1
299-BS-BB-Streak-HiHi-TN-TD,12,0
299-BS-BB-Streak-HiHi-TN-TD,15,3
299-BS-BB-Streak-HiHi-TN-TD,42,3
299-BS-BB-Streak-HiHi-TN-TD,44,0
299-BS-BB-Streak-HiHi-TN-TD,47,-2
299-BS-BB-Streak-HiHi-TN-TD,48,3
299-BS-BB-Streak-HiHi-TN-TD,60,3
299-BS-BB-Streak-HiHi-TN-TD,66,3
299-BS-BB-Streak-HiHi-TN-TD,69,3
299-BS-BB-Streak-HiHi-TN-TD,81,-2
299-BS-BB-Streak-HiHi-TN-TD,86,0
299-BS-BB-Streak-HiHi-TN-TD,112,0
298-BS-BB-HL-HiHi-TN-TD,5,1
298-BS-BB-HL-HiHi-TN-TD,12,0
298-BS-BB-HL-HiHi-TN-TD,15,3
298-BS-BB-HL-HiHi-TN-TD,42,3
298-BS-BB-HL-HiHi-TN-TD,44,0
298-BS-BB-HL-HiHi-TN-TD,47,-2
298-BS-BB-HL-HiHi-TN-TD,48,3
298-BS-BB-HL-HiHi-TN-TD,60,3
298-BS-BB-HL-HiHi-TN-TD,64,3
298-BS-BB-HL-HiHi-TN-TD,65,3
298-BS-BB-HL-HiHi-TN-TD,67,-2
298-BS-BB-HL-HiHi-TN-TD,81,-2
298-BS-BB-HL-HiHi-TN-TD,86,0
298-BS-BB-HL-HiHi-TN-TD,112,0
279-BS-BB-Streak-HiHi,5,1
279-BS-BB-Streak-HiHi,42,3
279-BS-BB-Streak-HiHi,44,0
279-BS-BB-Streak-HiHi,47,-2
279-BS-BB-Streak-HiHi,48,3
279-BS-BB-Streak-HiHi,60,3
279-BS-BB-Streak-HiHi,66,3
279-BS-BB-Streak-HiHi,69,3
279-BS-BB-Streak-HiHi,81,-2
279-BS-BB-Streak-HiHi,86,0
279-BS-BB-Streak-HiHi,112,0
278-BS-BB-HL-HiHi,5,1
278-BS-BB-HL-HiHi,42,3
278-BS-BB-HL-HiHi,44,0
278-BS-BB-HL-HiHi,47,-2
278-BS-BB-HL-HiHi,48,3
278-BS-BB-HL-HiHi,60,3
278-BS-BB-HL-HiHi,64,3
278-BS-BB-HL-HiHi,65,3
278-BS-BB-HL-HiHi,67,-2
278-BS-BB-HL-HiHi,81,-2
278-BS-BB-HL-HiHi,86,0
278-BS-BB-HL-HiHi,112,0
277-BS-VS-LT,5,1
277-BS-VS-LT,15,2
277-BS-VS-LT,42,3
277-BS-VS-LT,44,0
277-BS-VS-LT,60,3
277-BS-VS-LT,112,3
269-BS-Bull,5,1
269-BS-Bull,7,1
269-BS-Bull,12,2
269-BS-Bull,15,3
269-BS-Bull,25,2
269-BS-Bull,42,3
269-BS-Bull,44,0
269-BS-Bull,47,-2
269-BS-Bull,48,3
269-BS-Bull,60,3
269-BS-Bull,61,2
269-BS-Bull,81,-2
269-BS-Bull,86,0
269-BS-Bull,93,3
269-BS-Bull,97,1
269-BS-Bull,112,0
268-BS-3M-HiHi,5,1
268-BS-3M-HiHi,12,2
268-BS-3M-HiHi,15,1
268-BS-3M-HiHi,25,2
268-BS-3M-HiHi,42,3
268-BS-3M-HiHi,44,0
268-BS-3M-HiHi,47,-2
268-BS-3M-HiHi,48,3
268-BS-3M-HiHi,60,3
268-BS-3M-HiHi,61,3
268-BS-3M-HiHi,67,-2
268-BS-3M-HiHi,81,-2
268-BS-3M-HiHi,86,0
268-BS-3M-HiHi,97,1
268-BS-3M-HiHi,112,0
267-BS-Trade-CO,11,1
267-BS-Trade-CO,13,-1
267-BS-Trade-CO,21,3
267-BS-Trade-CO,42,3
267-BS-Trade-CO,44,0
267-BS-Trade-CO,47,-2
267-BS-Trade-CO,58,1
267-BS-Trade-CO,60,3
267-BS-Trade-CO,81,-2
267-BS-Trade-CO,112,0
199-BS-TN-LRR-MACD-UP-DAY,13,0
199-BS-TN-LRR-MACD-UP-DAY,15,2
199-BS-TN-LRR-MACD-UP-DAY,26,-1
199-BS-TN-LRR-MACD-UP-DAY,42,3
199-BS-TN-LRR-MACD-UP-DAY,44,0
199-BS-TN-LRR-MACD-UP-DAY,45,2
199-BS-TN-LRR-MACD-UP-DAY,57,2
199-BS-TN-LRR-MACD-UP-DAY,58,0
199-BS-TN-LRR-MACD-UP-DAY,60,3
199-BS-TN-LRR-MACD-UP-DAY,81,-2
199-BS-TN-LRR-MACD-UP-DAY,83,2
199-BS-TN-LRR-MACD-UP-DAY,112,0
198-BS-TN-LRR-UP-MACD,13,0
198-BS-TN-LRR-UP-MACD,15,2
198-BS-TN-LRR-UP-MACD,26,-1
198-BS-TN-LRR-UP-MACD,42,3
198-BS-TN-LRR-UP-MACD,44,0
198-BS-TN-LRR-UP-MACD,45,2
198-BS-TN-LRR-UP-MACD,58,0
198-BS-TN-LRR-UP-MACD,60,3
198-BS-TN-LRR-UP-MACD,81,-2
198-BS-TN-LRR-UP-MACD,83,2
198-BS-TN-LRR-UP-MACD,112,0
197-BS-TN-LRR-UP-DAY,13,0
197-BS-TN-LRR-UP-DAY,15,2
197-BS-TN-LRR-UP-DAY,26,-1
197-BS-TN-LRR-UP-DAY,42,3
197-BS-TN-LRR-UP-DAY,44,0
197-BS-TN-LRR-UP-DAY,45,2
197-BS-TN-LRR-UP-DAY,57,2
197-BS-TN-LRR-UP-DAY,58,0
197-BS-TN-LRR-UP-DAY,60,3
197-BS-TN-LRR-UP-DAY,64,2
197-BS-TN-LRR-UP-DAY,65,2
197-BS-TN-LRR-UP-DAY,81,-2
197-BS-TN-LRR-UP-DAY,112,0
196-BS-TN-LRR,13,0
196-BS-TN-LRR,15,2
196-BS-TN-LRR,24,3
196-BS-TN-LRR,42,3
196-BS-TN-LRR,44,0
196-BS-TN-LRR,45,2
196-BS-TN-LRR,60,3
196-BS-TN-LRR,81,-2
196-BS-TN-LRR,112,0
189-BR-BB-LoHi,5,1
189-BR-BB-LoHi,7,1
189-BR-BB-LoHi,21,3
189-BR-BB-LoHi,42,3
189-BR-BB-LoHi,44,0
189-BR-BB-LoHi,47,-2
189-BR-BB-LoHi,60,3
189-BR-BB-LoHi,64,2
189-BR-BB-LoHi,65,2
189-BR-BB-LoHi,68,3
189-BR-BB-LoHi,69,2
189-BR-BB-LoHi,81,-2
189-BR-BB-LoHi,83,3
189-BR-BB-LoHi,112,0
188-BR-TNabvTD-UP-MACD-DAY,19,0
188-BR-TNabvTD-UP-MACD-DAY,21,3
188-BR-TNabvTD-UP-MACD-DAY,42,3
188-BR-TNabvTD-UP-MACD-DAY,44,0
188-BR-TNabvTD-UP-MACD-DAY,47,-2
188-BR-TNabvTD-UP-MACD-DAY,57,2
188-BR-TNabvTD-UP-MACD-DAY,58,1
