col_1based,composite_rule_code,default_weight
15,899-SA-Trend-Breaks,
17,898-SA-Streak-VeryBad,
19,897-SW-Vlm-Spike-Price-Dn,
21,896-SA-TRbelowTN-Trade-Breaks,
23,895-SA-!TN!TD!Bull-TRR-Rev,
25,894-SA-!Bull-TN-TRR,
27,893-SA-TRR-blw-TN,
29,889-STM-OverBought,
31,888-STM-!Bull-BBTh-Crossover-RSI-IVHV,
33,887-STM-!Bull--BBTh-Crossover-RSI-IV,
35,859-SS-Bull-BBTh-Crossover-RSI-IVHV,
37,858-SS-Bull-BBTh-Crossover-RSI-IV,
39,857-SS-BBTh-Crossover-RSIOnly,
41,798-STM-!Bull-TRR-Rev,
43,796-SW-!Bull-BBTh-Crossover,
45,793-STM-!TD!Bull-TRR-Rev,
47,792-STM-Bull-TN-TD-TRR-RSI-IV,
49,791-STM-!Bull-HighAbvTRR,
51,789-SS-!Bull-OverBought,
53,788-SS-!Bull-TN-TD-TRR,
55,787-SS-Bull-TRR-Rev,
57,786-SS-Bull-OverBought,
59,785-SS-Trade-Breaks,
61,784-SS-Streak-GoingBad,
63,783-SW-Vol-Spke-Price-Dn-Past,
65,782-SS-3mnHigh,
67,781-SS-TRR-CloseToTrade,
69,699-SW-Resistance,
71,698-SS-Bull-HighAbvTRR,
73,697-STM-Earnings-Date,
75,449-B-TN-TD-LRR-UP-MACD,
77,448-BS-TN-TD-LRR,
79,399-B-TN-TD-LRR-UP-MACD,
81,398-B-TN-TD-LRR-UP-DAY,
83,397-B-TN-TD-LRR,
85,396-BS-LRR-CloseToTrade,
87,395-BS-TN-TD-LRR,
89,394-BS-TN-LRR,
91,299-BS-BB-Streak-HiHi-TN-TD,
93,298-BS-BB-HL-HiHi-TN-TD,
95,279-BS-BB-Streak-HiHi,
97,278-BS-BB-HL-HiHi,
99,277-BS-VS-LT,
101,269-BS-Bull,
103,268-BS-3M-HiHi,
105,267-BS-Trade-CO,
107,199-BS-TN-LRR-MACD-UP-DAY,
109,198-BS-TN-LRR-UP-MACD,
111,197-BS-TN-LRR-UP-DAY,
113,196-BS-TN-LRR,
115,189-BR-BB-LoHi,
117,188-BR-TNabvTD-UP-MACD-DAY,
119,187-BR-NoTN-NoTD-UP-MACD-DAY,
121,186-BR-Trend-CO,
123,99-BS-Min,
125,98-BW-TD-LRR-RSI,
127,97-BW-TD-RSI-IV,
129,96-BW-RSI-IVHV-Min,
131,95-BW-LowBelwLRR,
133,94-BW-UP-MACD,
135,93-BW-LRRabvTD,
137,92-BS-RSI-MACD-Vlme-IVHV-IVBRR,
139,92-BS-RSI-MACD-Vlme-IVHV-IVBRR,
141,92-BS-RSI-MACD-Vlme-IVHV-IVBRR,
143,52-BS-BRR,
145,51-BS-TRADE-TREND,
149,Rating,
