col_idx,col_letter,header,drv2_table,drv_cat_table,color_block_id,header_color,first_source_sheet,formula
1,A,Key,drv2_ma_thin,drv_cat_identity,1,theme:9,,=M2&B2
2,B,Symbol,drv2_ma_thin,drv_cat_identity,2,theme:2,,ZM
3,C,Y Symbol,drv2_ma_thin,drv_cat_identity,2,theme:2,,ZM
4,D,Close,drv2_ma_thin,drv_cat_price,2,theme:2,,"=IF(S2=""Y"",F2,CN2)"
5,E,Company Name,drv2_y,drv_cat_identity,3,FFF6FCD0,Y,"=_xlfn.XLOOKUP($R2&$C2,Y!$D2:$D57061,Y!$J2:$J57061,"""")"
6,F,Last,drv2_ma_thin,drv_cat_price,4,theme:4,,=DM2
7,G,Last Net Chng,drv2_ma_thin,drv_cat_price,4,theme:4,,=DN2
8,H,Last %Change,drv2_ma_thin,drv_cat_price,4,theme:4,,=DO2
9,I,High,drv2_ma_thin,drv_cat_price,4,theme:4,,=DQ2
10,J,Low,drv2_ma_thin,drv_cat_price,4,theme:4,,=DR2
11,K,RR LRR,drv2_ma_thin,drv_cat_risk_range,5,theme:2,,=EC2
12,L,RR TRR,drv2_ma_thin,drv_cat_risk_range,5,theme:2,,=ED2
13,M,TOS Daily Export Date,(scalar_dash),drv_cat_identity,5,theme:2,Dash,"=IF(B2="""","""",Dash!$AB$19)"
14,N,TOS Weekly Export Date,(scalar_dash),drv_cat_identity,5,theme:2,Dash,"=IF(B2="""","""",Dash!$AB$18)"
15,O,TOS Latest Export Date,(scalar_dash),drv_cat_identity,5,theme:2,Dash,"=IF(B2="""","""",Dash!$AB$21)"
16,P,TOS Other Export Date,(scalar_dash),drv_cat_identity,5,theme:2,Dash,"=IF(C2="""","""",Dash!$AB$20)"
17,Q,Y Mkt Close Export,(scalar_dash),drv_cat_price,5,theme:2,Dash,"=IF(B2="""","""",Dash!$AB$22)"
18,R,Y Latest Exp Date,(scalar_dash),drv_cat_misc,5,theme:2,Dash,"=IF(B2="""","""",Dash!$AB$23)"
19,S,Use Latest,(scalar_dash),drv_cat_misc,5,theme:2,Dash,"=IF(B2="""","""",Dash!$AB$6)"
20,T,II Date,drv2_ii,drv_cat_ii,5,theme:2,II,"=_xlfn.MAXIFS(II!C393:C10392,II!C393:C10392,""<="" & M2)"
21,U,ETF Date,drv2_etf,drv_cat_etf,5,theme:2,etf,"=_xlfn.MAXIFS(etf!C2:C9205,etf!C2:C9205,""<="" & M2)"
22,V,SSH Date,drv2_ssh,drv_cat_signal_strength,5,theme:2,ssH,"=_xlfn.MAXIFS(ssH!B2:B5535,ssH!B2:B5535,""<="" &M2)"
23,W,FH Date,drv2_holdings,drv_cat_misc,5,theme:2,F,"=_xlfn.MAXIFS(F!D2:D5542,F!D2:D5542,""<="" & Dash!$AB$15)"
24,X,CS Date,drv2_holdings,drv_cat_holdings,5,theme:2,CS,"=_xlfn.MAXIFS(CS!D2:D3247,CS!D2:D3247,""<="" & Dash!$AB$15)"
25,Y,RR Date,drv2_rr,drv_cat_risk_range,5,theme:2,RR,"=_xlfn.MAXIFS(RR!D2:D2586,RR!D2:D2586,""<="" &M2)"
26,Z,Sort Symbol,drv2_ma_thin,drv_cat_identity,5,theme:2,,854
27,AA,StandardDeviation,drv2_tw,drv_cat_price,5,theme:2,TW,"=_xlfn.XLOOKUP(N2&B2,TW!$D:$D,TW!$AF:$AF,"""")"
28,AB,Median SD,drv2_ma_thin,drv_cat_price,5,theme:2,,<openpyxl.worksheet.formula.ArrayFormula object at 0x77fa7f1452d0>
29,AC,SDorMedian,drv2_ma_thin,drv_cat_price,5,theme:2,,"=MIN(AA2,AB2)"
30,AD,SD%,drv2_ma_thin,drv_cat_price,5,theme:2,,=(AC2/D2)
31,AE,A_TrendValue,drv2_td,drv_cat_trend_trade,5,theme:2,TD,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$AY:$AY,"""")"
32,AF,A_TradeValue,drv2_td,drv_cat_trend_trade,5,theme:2,TD,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$AZ:$AZ,"""")"
33,AG,Trend_sd,drv2_ma_thin,drv_cat_trend_trade,5,theme:2,,"=IF(D2=AE2,0.1,(D2-AE2)/AC2)"
34,AH,Trade_sd,drv2_ma_thin,drv_cat_trend_trade,5,theme:2,,=(D2-AF2)/AC2
35,AI,Trade_Trend_Sd,drv2_ma_thin,drv_cat_trend_trade,5,theme:2,,=(AF2-AE2)/AC2
36,AJ,A_BBHighLow,drv2_td,drv_cat_bollinger,5,theme:2,TD,"=_xlfn.XLOOKUP(M2&B2,TD!$D:$D,TD!$BD:$BD,"""")"
37,AK,BBHighLow_A,drv2_ma_thin,drv_cat_bollinger,5,theme:2,,=TRUNC(AJ2)
38,AL,BBHighLow,drv2_ma_thin,drv_cat_bollinger,5,theme:2,,=AK2/100
39,AM,BBHighLowDays,drv2_ma_thin,drv_cat_bollinger,5,theme:2,,"=ABS(ROUND(100*(AJ2-AK2),0))"
40,AN,BB_Direction1,drv2_ma_thin,drv_cat_bollinger,5,theme:2,,<openpyxl.worksheet.formula.ArrayFormula object at 0x77fa7f145930>
41,AO,BBHighLow_SD,drv2_ma_thin,drv_cat_bollinger,5,theme:2,,=(D2-ABS(AL2))/ AC2
42,AP,A_BBHighLowDays,drv2_td,drv_cat_bollinger,5,theme:2,TD,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$BE:$BE,"""")"
43,AQ,BBHighDays,drv2_ma_thin,drv_cat_bollinger,5,theme:2,,=TRUNC(AP2)
44,AR,BBLowDays,drv2_ma_thin,drv_cat_bollinger,5,theme:2,,=ABS(100*(AP2-AQ2))
