col_idx,col_letter,header,sample_value,formula
1,A,Key,46141.6875ZM,=M2&B2
2,B,Symbol,ZM,ZM
3,C,Y Symbol,ZM,ZM
4,D,Close,95.76,"=IF(S2=""Y"",F2,CN2)"
5,E,Company Name,"Zoom Communications, Inc.","=_xlfn.XLOOKUP($R2&$C2,Y!$D2:$D57061,Y!$J2:$J57061,"""")"
6,F,Last,95.76,=DM2
7,G,Last Net Chng,4.62,=DN2
8,H,Last %Change,0.0507,=DO2
9,I,High,96.51,=DQ2
10,J,Low,91.02,=DR2
11,K,RR LRR,0,=EC2
12,L,RR TRR,0,=ED2
13,M,TOS Daily Export Date,2026-04-29 16:30:00,"=IF(B2="""","""",Dash!$AB$19)"
14,N,TOS Weekly Export Date,2026-04-29 16:30:00,"=IF(B2="""","""",Dash!$AB$18)"
15,O,TOS Latest Export Date,2026-04-29 16:30:00,"=IF(B2="""","""",Dash!$AB$21)"
16,P,TOS Other Export Date,2026-04-27 16:30:00,"=IF(C2="""","""",Dash!$AB$20)"
17,Q,Y Mkt Close Export,2026-04-29 16:30:00,"=IF(B2="""","""",Dash!$AB$22)"
18,R,Y Latest Exp Date,2026-04-29 16:30:00,"=IF(B2="""","""",Dash!$AB$23)"
19,S,Use Latest,Y,"=IF(B2="""","""",Dash!$AB$6)"
20,T,II Date,00:00:00,"=_xlfn.MAXIFS(II!C393:C10392,II!C393:C10392,""<="" & M2)"
21,U,ETF Date,2025-12-28 00:00:00,"=_xlfn.MAXIFS(etf!C2:C9205,etf!C2:C9205,""<="" & M2)"
22,V,SSH Date,2026-04-28 00:00:00,"=_xlfn.MAXIFS(ssH!B2:B5535,ssH!B2:B5535,""<="" &M2)"
23,W,FH Date,2026-04-14 00:00:00,"=_xlfn.MAXIFS(F!D2:D5542,F!D2:D5542,""<="" & Dash!$AB$15)"
24,X,CS Date,2026-04-29 00:00:00,"=_xlfn.MAXIFS(CS!D2:D3247,CS!D2:D3247,""<="" & Dash!$AB$15)"
25,Y,RR Date,2026-04-29 00:00:00,"=_xlfn.MAXIFS(RR!D2:D2586,RR!D2:D2586,""<="" &M2)"
26,Z,Sort Symbol,854,854
27,AA,StandardDeviation,4.32,"=_xlfn.XLOOKUP(N2&B2,TW!$D:$D,TW!$AF:$AF,"""")"
28,AB,Median SD,4.32,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0db96800>
29,AC,SDorMedian,4.32,"=MIN(AA2,AB2)"
30,AD,SD%,0.045112781954887216,=(AC2/D2)
31,AE,A_TrendValue,87.19,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$AY:$AY,"""")"
32,AF,A_TradeValue,77.02,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$AZ:$AZ,"""")"
33,AG,Trend_sd,1.9837962962962978,"=IF(D2=AE2,0.1,(D2-AE2)/AC2)"
34,AH,Trade_sd,4.337962962962965,=(D2-AF2)/AC2
35,AI,Trade_Trend_Sd,-2.354166666666667,=(AF2-AE2)/AC2
36,AJ,A_BBHighLow,9651.01,"=_xlfn.XLOOKUP(M2&B2,TD!$D:$D,TD!$BD:$BD,"""")"
37,AK,BBHighLow_A,9651,=TRUNC(AJ2)
38,AL,BBHighLow,96.51,=AK2/100
39,AM,BBHighLowDays,1,"=ABS(ROUND(100*(AJ2-AK2),0))"
40,AN,BB_Direction1,-1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0db96e60>
41,AO,BBHighLow_SD,-0.1736111111111111,=(D2-ABS(AL2))/ AC2
