col_idx,col_letter,excel_header,proposed_pg_name,proposed_pg_type,complexity,source_tables,sample_value,excel_formula
1,A,Key,key,TEXT,arithmetic,,46141.6875ZM,=M2&B2
2,B,Symbol,symbol,TEXT,static_input,,ZM,ZM
3,C,Y Symbol,y_symbol,TEXT,static_input,,ZM,ZM
4,D,Close,close,NUMERIC,conditional,,95.76,"=IF(S2=""Y"",F2,CN2)"
5,E,Company Name,company_name,TEXT,cross_sheet_lookup,hist_y,"Zoom Communications, Inc.","=_xlfn.XLOOKUP($R2&$C2,Y!$D2:$D57061,Y!$J2:$J57061,"""")"
6,F,Last,last,NUMERIC,passthrough,,95.76,=DM2
7,G,Last Net Chng,last_net_chng,NUMERIC,passthrough,,4.62,=DN2
8,H,Last %Change,last_change,NUMERIC,passthrough,,0.0507,=DO2
9,I,High,high,NUMERIC,passthrough,,96.51,=DQ2
10,J,Low,low,NUMERIC,passthrough,,91.02,=DR2
11,K,RR LRR,rr_lrr,NUMERIC,passthrough,,0,=EC2
12,L,RR TRR,rr_trr,NUMERIC,passthrough,,0,=ED2
13,M,TOS Daily Export Date,tos_daily_export_date,DATE,cross_sheet_simple,(scalar from drv_dash),2026-04-29 16:30:00,"=IF(B2="""","""",Dash!$AB$19)"
14,N,TOS Weekly Export Date,tos_weekly_export_date,DATE,cross_sheet_simple,(scalar from drv_dash),2026-04-29 16:30:00,"=IF(B2="""","""",Dash!$AB$18)"
15,O,TOS Latest Export Date,tos_latest_export_date,DATE,cross_sheet_simple,(scalar from drv_dash),2026-04-29 16:30:00,"=IF(B2="""","""",Dash!$AB$21)"
16,P,TOS Other Export Date,tos_other_export_date,DATE,cross_sheet_simple,(scalar from drv_dash),2026-04-27 16:30:00,"=IF(C2="""","""",Dash!$AB$20)"
17,Q,Y Mkt Close Export,y_mkt_close_export,DATE,cross_sheet_simple,(scalar from drv_dash),2026-04-29 16:30:00,"=IF(B2="""","""",Dash!$AB$22)"
18,R,Y Latest Exp Date,y_latest_exp_date,DATE,cross_sheet_simple,(scalar from drv_dash),2026-04-29 16:30:00,"=IF(B2="""","""",Dash!$AB$23)"
