idx,letter,header,pipeline_stage,concept,drv_cat_table,color,island_id,formula
1,A,Key,lookup_identity,identity,drv_cat_identity,theme:9,1,=M2&B2
2,B,Symbol,lookup_identity,identity,drv_cat_identity,theme:2,2,ZM
3,C,Y Symbol,lookup_identity,identity,drv_cat_identity,theme:2,2,ZM
4,D,Close,lookup_identity,price,drv_cat_price,theme:2,2,"=IF(S2=""Y"",F2,CN2)"
5,E,Company Name,lookup_identity,identity,drv_cat_identity,FFF6FCD0,3,"=_xlfn.XLOOKUP($R2&$C2,Y!$D2:$D57061,Y!$J2:$J57061,"""")"
6,F,Last,lookup_identity,price,drv_cat_price,theme:4,4,=DM2
7,G,Last Net Chng,lookup_identity,price,drv_cat_price,theme:4,4,=DN2
8,H,Last %Change,lookup_identity,price,drv_cat_price,theme:4,4,=DO2
9,I,High,lookup_identity,price,drv_cat_price,theme:4,4,=DQ2
10,J,Low,lookup_identity,price,drv_cat_price,theme:4,4,=DR2
11,K,RR LRR,lookup_data,risk_range,drv_cat_risk_range,theme:2,5,=EC2
12,L,RR TRR,lookup_data,risk_range,drv_cat_risk_range,theme:2,5,=ED2
13,M,TOS Daily Export Date,lookup_data,identity,drv_cat_identity,theme:2,5,"=IF(B2="""","""",Dash!$AB$19)"
14,N,TOS Weekly Export Date,lookup_data,identity,drv_cat_identity,theme:2,5,"=IF(B2="""","""",Dash!$AB$18)"
15,O,TOS Latest Export Date,lookup_data,identity,drv_cat_identity,theme:2,5,"=IF(B2="""","""",Dash!$AB$21)"
16,P,TOS Other Export Date,lookup_data,identity,drv_cat_identity,theme:2,5,"=IF(C2="""","""",Dash!$AB$20)"
17,Q,Y Mkt Close Export,lookup_data,price,drv_cat_price,theme:2,5,"=IF(B2="""","""",Dash!$AB$22)"
18,R,Y Latest Exp Date,lookup_data,price,drv_cat_price,theme:2,5,"=IF(B2="""","""",Dash!$AB$23)"
19,S,Use Latest,lookup_data,price,drv_cat_price,theme:2,5,"=IF(B2="""","""",Dash!$AB$6)"
20,T,II Date,lookup_data,ii,drv_cat_ii,theme:2,5,"=_xlfn.MAXIFS(II!C393:C10392,II!C393:C10392,""<="" & M2)"
