Date,Time,Symbol,Last,Net Chng,%Change,Open,High,Low,RSI,HistoricalVolatility,ImpVolatility,A_TrendValue,A_TradeValue,A_BB_Bottom,A_BB_Top,A_BB_Streak,A_BBHighLow,A_BBHighLowDays,A_IVPercentile,A_HVPercentile,A_BB_Top_Slope,A_BB_Bot_Slope
5/20/2026,1630,$COMP,26270.3593,0,0.00%,0,0,0,66.8,0.16,NaN,22306.08,24491.83,25283.65,27131.75,-1201.02,2670714.05,8.37,0,53.1,5.3,7.5
5/20/2026,1630,$DJI,50009.35,645.47,1.31%,49348.83,50067.22,49235.74,59.73,0.12,NaN,48377.96,48762.93,49152.37,50223.63,-2201.01,-4923574.01,1.01,0,50.1,0.4,1.5
5/20/2026,1630,$DXY,99.18,0.088,0.09%,99.153,99.219,99.064,56.552,0.057,NaN,97.489,97.625,97.798,99.776,6208.02,9947.02,2.1,0,42.1,2.3,0
5/20/2026,1630,/6B[M26],1.3431,-0.001,-0.07%,1.3434,1.3445,1.3419,46.5438,0.0753,0.0651,1.3253,1.3512,1.3283,1.3646,-5108.04,-133.04,9.04,19.1,80.2,0.2,-4.7
5/20/2026,1630,/6C[M26],0.7273,-0.00085,-0.12%,0.72825,0.72835,0.72715,38.41639,0.03872,0.0476,0.7275,0.73435,0.72389,0.73489,-8112.03,-73.02,12.03,45.1,19.1,-1.6,-0.8
5/20/2026,1630,/6E[M26],1.1633,-0.0012,-0.10%,1.1637,1.1647,1.16275,41.13955,0.04904,0.0599,1.15375,1.1699,1.15673,1.18081,-6108.02,-116.02,8.02,21.1,26.1,0,-0.9
5/20/2026,1630,/6J[M26],0.0062995,-0.0000095,-0.15%,0.0063055,0.006309,0.0062995,42.8021624,0.1005012,0.0701,0.006337,0.006352,0.0062576,0.0064054,-3108.03,-1.03,11.03,8.1,65.4,0,0
5/20/2026,1630,/BTC[K26],77945,240,0.31%,77470,78275,77190,51,0,0,62590,76515,75860,82606,-4105,-7646500,11,23,7,0,0
5/20/2026,1630,/BZ[N26],105.56,0.54,0.51%,105.21,106.68,105.16,50.73,0.56,NaN,69.16,96.73,99.41,113.63,3102.02,-9607.11,16.11,0.2,82.1,0,0.3
5/20/2026,1630,/CL[N26],98.91,0.65,0.66%,98.95,100.11,98.5,50.03,0.55,0.74,63.6,88.66,94.23,105.92,2102.02,-8985.11,16.11,72.1,79.1,-1.3,1.7
5/20/2026,1630,/GC[M26],4527.4,-7.9,-0.17%,4548,4572.4,4526.5,40.7,0.2,0.2,5005,4510.1,4431.7,4761.6,-4105,-445500,8,41.1,53.1,-0.7,0
5/20/2026,1630,/HG[N26],6.3095,-0.021,-0.33%,6.3285,6.373,6.2955,55.0439,0.3222,0.3112,5.747,5.82,5.9545,6.8163,-1105.04,672.07,7.13,60.1,54.2,1.1,0
5/20/2026,1630,/NG[M26],3.027,0.023,0.77%,3.03,3.046,3.022,59.599,0.441,0.528,2.775,2.69,2.711,3.186,13218.02,314.02,2.2,20.1,17.1,11.3,5.5
5/20/2026,1630,/NKD[M26],62000,465,0.76%,61325,62075,61020,58,0,NaN,53620,59120,59583,64828,-3105,-5935500,9,0,52,0,1
5/20/2026,1630,/SI[N26],75.695,-0.486,-0.64%,76.19,77.305,75.52,46.17,0.629,0.593,78.06,72.6,69.035,89.541,-3105.02,8917.06,6.16,58.1,77.1,0,-1
5/20/2026,1630,AAAU,44.83,0.63,1.43%,44.28,44.9,44.05,42.34,0.21,0.26,50.42,44.4,43.83,47.08,-4105.01,-4405.01,57.01,70.1,48.1,-1.6,0
5/20/2026,1630,AAL,12.95,0.89,7.38%,12.11,13.09,12.035,58.81,0.48,0.57,12.11,11.47,11.63,13.64,-1201.02,1337.09,9.16,69.1,50.1,0,4.2
5/20/2026,1630,AAPL,302.25,3.28,1.10%,298.18,302.8,298.08,74.41,0.19,0.26,260.2,268.14,284.28,313.34,9217.06,30320.04,6.32,19.1,31.1,12.3,16.9
5/20/2026,1630,ABBV,212.3,-1.46,-0.68%,213.36,214.4999,211.5,56.93,0.24,0.29,221.13,204.87,201.51,215.64,5207.01,21450.01,1.16,50.1,42.1,1.8,6.2
5/20/2026,1630,ABNB,135.55,4.39,3.35%,131.4,136.46,128.2,49.07,0.24,0.37,119.94,138.23,128.43,142.51,-13201.01,-12820.01,8.01,31.1,38.1,-0.5,-1
5/20/2026,1630,ABR,5.78,-0.03,-0.52%,5.77,5.855,5.68,27.24,0.75,0.44,7.11,7.75,4.64,7.56,-6109.04,-567.04,10.05,28.1,100.4,-3.7,-22.3
5/20/2026,1630,ABT,88.38,-0.44,-0.50%,88.2,88.785,87.1,43.96,0.29,0.31,112.05,86.16,81.44,90.77,1203.02,8934.02,2.08,90.2,77.3,-5.1,0
5/20/2026,1630,ACHC,24.07,-0.85,-3.41%,24.92,25.19,23.98,41.27,0.64,0.63,16.43,21.6,23.28,27.38,-2104.01,-2394.02,13.09,13.1,60.2,-2.7,-2.8
5/20/2026,1630,ACHR,5.78,-0.13,-2.20%,5.86,6.04,5.74,43.84,0.55,0.81,6.66,5.57,5.57,6.73,-4104.01,-574.01,6.01,23.1,17.1,0,0
5/20/2026,1630,ACI,17.05,-0.15,-0.87%,17.07,17.165,16.815,57.03,0.24,0.32,17.57,16.13,15.73,17.33,5206.01,1717.01,1.06,60.1,45.1,0,0
