Date,Time,Symbol,Beta,Market Cap,Long-term Debt to Capital - Current (LTM),Price / Earnings Ratio - Current,Price / Book Value Ratio - Current,Return on Equity (ROE) - Current (LTM),EPS,Div. Yield - Current,Sector,Free Cash Flow Per Share - Current (LTM)
05/15/2026,1630,$COMP,1.212,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,$DJI,1,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,$DXY,<empty>,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,/6B[M26],.3089,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,/6C[M26],.2666,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,/6E[M26],.1322,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,/6J[M26],.041,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,/BTC[K26],.9922,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,/BZ[N26],.055,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,/CL[N26],1.29,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,/GC[M26],.1486,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,/HG[N26],.037,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,/NG[M26],.5784,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,/NKD[M26],.352,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,/SI[N26],.6496,0,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,AAAU,.1633,"2,761 M",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,AAL,1.338,"8,142 M",95.032,35.12,-1.7423,-4.7058,.31,<empty>,Industrials,$1.67
05/15/2026,1630,AAPL,1.07,"4,409,585 M",38.914,30.161,34.269,141.47,8.26,.41801,Information Technology,$8.74
05/15/2026,1630,ABBV,.3057,"371,716 M",97.394,107.14,-57.729,-141.4,2.04,3.099,Health Care,$11.29
05/15/2026,1630,ABNB,1.204,"78,847 M",24.336,30.954,9.8398,32.325,4.05,<empty>,Consumer Discretionary,$7.52
05/15/2026,1630,ABR,1.155,"1,114 M",41.78,19.339,.66321,<empty>,.4,13.878,Financials,$0.89
05/15/2026,1630,ABT,.634,"147,131 M",34.208,28.758,3.4351,12.334,3.57,2.3766,Health Care,$4.24
05/15/2026,1630,ACHC,.7614,"2,374 M",<empty>,-1.9105,1.0841,<empty>,-12.2,<empty>,Health Care,<empty>
05/15/2026,1630,ACHR,2.845,"4,596 M",5.2562,-4.7412,1.8844,-48.047,-1.1,<empty>,Industrials,($0.90)
05/15/2026,1630,ACI,.2531,"8,110 M",81.866,44.89,4.8697,<empty>,.4,3.352,Consumer Staples,<empty>
05/15/2026,1630,ADBE,1.448,"100,080 M",31.614,15.299,9.3185,58.774,17.16,<empty>,Information Technology,$24.58
05/15/2026,1630,ADYEY,2.345,"32,294 M",<empty>,40.91,8.2043,<empty>,.3948,<empty>,Financials,<empty>
05/15/2026,1630,AFK,.7383,120 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,AFRM,3.499,"22,043 M",70.583,43.29,4.0553,11.487,1.1,<empty>,Financials,$2.37
05/15/2026,1630,AGCO,1.116,"8,202 M",29.178,11.119,1.9526,17.531,10.37,1.0011,Industrials,$7.39
05/15/2026,1630,AHR,.5657,"9,511 M",28.82,81.926,2.5728,3.4901,.59,2.1204,Real Estate,$1.81
05/15/2026,1630,AIQUY,.7723,"115,475 M",<empty>,26.359,3.5333,<empty>,1.428,2.3088,Materials,<empty>
05/15/2026,1630,AKAM,.5388,"21,936 M",51.024,38.838,3.4054,<empty>,2.96,<empty>,Information Technology,$5.29
05/15/2026,1630,ALB,1.362,"21,273 M",15.746,-52.857,2.7792,-1.8204,-3.42,.90236,Materials,$3.47
05/15/2026,1630,ALCO,.9927,298 M,<empty>,-16.659,3.0032,<empty>,-2.47,.48473,Consumer Staples,<empty>
05/15/2026,1630,ALGN,1.779,"11,262 M",1.9557,28.802,2.9588,10.824,5.95,<empty>,Health Care,$8.11
05/15/2026,1630,ALLY,1.105,"12,871 M",<empty>,9.5773,.90776,<empty>,4.12,3.0589,Financials,($0.36)
05/15/2026,1630,ALNY,.3245,"38,315 M",<empty>,83.762,41.058,<empty>,3.98,<empty>,Health Care,$4.88
05/15/2026,1630,AMAT,1.676,"346,506 M",17.31,39.223,13.85,39.692,10.63,.2206,Information Technology,$6.72
05/15/2026,1630,AMBA,2.193,"3,554 M",1.8756,-35.978,4.6627,-13.123,-1.78,<empty>,Information Technology,$1.36
05/15/2026,1630,AMD,2.3,"691,538 M",4.3858,67.357,5.1076,8.0625,3.05,<empty>,Information Technology,$5.27
05/15/2026,1630,AMG,1.141,"7,763 M",42.04,11.205,2.3732,21.834,24.38,.01446,Financials,$37.82
05/15/2026,1630,AMH,.8113,"11,038 M",40.371,22.713,1.4662,<empty>,1.23,4.4054,Real Estate,<empty>
05/15/2026,1630,AMLP,.5033,"12,717 M",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,AMN,.3212,"1,110 M",<empty>,-21.859,.99462,<empty>,-.86,<empty>,Health Care,$18.27
05/15/2026,1630,AMPH,.8887,744 M,<empty>,11.753,1.1307,<empty>,1.66,<empty>,Health Care,<empty>
05/15/2026,1630,AMZN,1.446,"2,841,383 M",32.192,24.908,5.0683,24.285,8.36,<empty>,Consumer Discretionary,($0.23)
05/15/2026,1630,AN,.7642,"6,162 M",49.172,10.644,2.9736,<empty>,18.44,<empty>,Consumer Discretionary,<empty>
05/15/2026,1630,AQWA,.9112,24 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,AR,.4325,"11,848 M",32.483,13.743,1.6308,12.837,3.09,<empty>,Energy,$3.08
05/15/2026,1630,ARE,1.16,"7,837 M",33.533,-7.4065,.50365,-4.1438,-6.27,8.7893,Real Estate,$8.24
05/15/2026,1630,ARGT,.9305,776 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,ARHS,2.327,814 M,<empty>,14.783,2.571,<empty>,.47,<empty>,Consumer Discretionary,<empty>
05/15/2026,1630,ARKK,1.978,"6,434 M",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,ARQQ,2.673,209 M,<empty>,-15.078,21.756,<empty>,-2.56,<empty>,Information Technology,($2.18)
05/15/2026,1630,AS,1.126,"19,107 M",19.187,49.145,3.59,8.1334,.76,<empty>,Consumer Discretionary,$0.80
05/15/2026,1630,ASBFF,.4235,"18,028 M",<empty>,<empty>,<empty>,<empty>,1.797,<empty>,Consumer Staples,<empty>
05/15/2026,1630,ASO,1.026,"3,261 M",42.865,9.9296,1.6454,<empty>,5.54,.98164,Consumer Discretionary,$3.32
05/15/2026,1630,ATRO,1.103,"2,817 M",68.993,56.662,15.48,<empty>,1.22,<empty>,Industrials,$0.68
05/15/2026,1630,AVB,.8015,"25,157 M",37.521,20.258,1.9748,<empty>,8.07,4.3036,Real Estate,<empty>
05/15/2026,1630,AVGO,1.418,"2,013,134 M",43.723,64.567,19.644,33.371,5.13,.74857,Information Technology,$6.12
