Date,Time,Symbol,Last,%Change,Sector,Beta,StandardDeviation,Free Cash Flow Per Share - Current (LTM),52High,52Low,SimpleMovingAvg,SimpleMovingAvg,SimpleMovingAvg,A_MCADays_Streak,A_MACD_BRR,A_MACDH_D_BRR,Volume,A_VolumeSpike,VolumeAvg,VolumeAvg,VolumeRateOfChange,A_Perf2M,A_Perf2Wk,A_Perf3D,A_3mnHigh,A_3mnLow,A_3mnHighLow,A_3wkHighLow,A_EarningsDays,Market Cap
05/22/2026,1630,$COMP,26343.9704,+0.19%,,1.212,312.88,<empty>,26707.1412,18599.6866,25750.55,23926.85,23087.01,-6.0,-0.85,-0.14,<empty>,NaN,NaN,NaN,NaN,21.06,0.37,1.83,26707.06,20690.38,26707.06,26707.06,NaN,0
05/22/2026,1630,$DJI,50579.70,+0.58%,,1,337.85,<empty>,50830.24,41354.09,49617.62,48246.5,47606.38,3.0,0.9,0.44,"463,477,711",-100100.45,5.086015599E8,5.2156694105E8,5.46,9.66,1.96,2.46,50201.06,45057.38,-45057.38,-48709.17,NaN,0
05/22/2026,1630,$DXY,99.319,+0.06%,,<empty>,0.527,<empty>,100.643,95.551,98.606,98.969,98.547,-3.0,0.62,-0.84,<empty>,NaN,NaN,NaN,NaN,0.122,1.509,0.011,101.37,97.6,101.37,-98.12,NaN,0
05/22/2026,1630,/6B[M26],1.3433,+0.06%,,.3089,0.009,<empty>,1.3869,1.3011,1.3503,1.3434,1.3426,3.0,-0.3,0.21,"65,601",-100000.52,96200.9,105426.5625,-22.5728,0.2014,-1.4526,0.2837,1.15,1.37,1.15,-1.04,NaN,0
05/22/2026,1630,/6C[M26],.72410,-0.30%,,.2666,0.00305,<empty>,0.74315,0.70845,0.7317,0.72955,0.72567,-2.0,-0.26,-0.2,"63,452",-300106.5,67558.32,73319.40625,-0.50023,-0.6994,-1.13326,-0.59033,1.53,1.37,-1.37,1.15,NaN,0
05/22/2026,1630,/6E[M26],1.16175,-0.05%,,.1322,0.00656,<empty>,1.21105,1.12215,1.17114,1.16837,1.17094,2.0,-0.38,0.19,"140,270",-200000.52,183193.68,207683.89063,-23.87801,-0.28753,-1.60498,-0.01721,1.25,1.49,1.25,1.12,NaN,0
05/22/2026,1630,/6J[M26],.0062925,-0.08%,,.041,4.01E-5,<empty>,0.007078,0.006243,0.0063416,0.0063282,0.0065008,-12.0,-0.54,-0.2,"105,674",200109.13,150348.22,156076.71875,-58.523432,-0.8117907,-1.6950476,-0.126974,0.62,0.16,-0.16,0.12,NaN,0
05/22/2026,1630,/BTC[K26],75915,-2.29%,,.9922,2018.0,<empty>,127240.0,60005.0,78929.0,74979.0,91432.0,-9.0,-1.0,0.0,"8,525",100762.0,8587.0,9000.0,-29.0,8.0,-6.0,-1.0,83215.0,62591.0,83215.0,83215.0,NaN,0
05/22/2026,1630,/BZ[N26],103.94,+1.33%,,.055,3.07,<empty>,119.4,58.72,107.1,104.17,76.0,-3.0,-0.2,-0.38,"34,082",-101000.54,49589.22,65191.61,-46.96,3.9,3.43,-6.36,119.53,69.6,119.53,-96.11,NaN,0
05/22/2026,1630,/CL[N26],97.00,+0.67%,,1.29,2.73,<empty>,119.48,54.98,100.71,98.18,71.44,-3.0,-0.19,-0.42,"242,528",100321.53,334351.18,395599.02,-24.21,9.74,2.45,-6.76,119.53,64.6,119.53,-89.12,NaN,0
05/22/2026,1630,/GC[M26],4510.5,-0.70%,,.1486,88.3,<empty>,5626.8,3250.5,4618.5,4679.8,4373.4,-1.0,-0.3,-0.5,"106,338",0.0,150783.5,151830.9,-7.3,0.8,-4.5,0.6,5434.6,4100.4,-4100.4,-4455.0,NaN,0
05/22/2026,1630,/HG[N26],6.3805,+1.37%,,.037,0.1821,<empty>,6.716,4.3325,6.2288,5.9439,5.4361,-7.0,-0.78,-0.38,"41,768",0.0,44980.3,44657.5625,30.163,14.7985,1.5599,3.011,7.07,5.43,7.07,7.07,NaN,0
05/22/2026,1630,/NG[M26],2.921,-3.21%,,.5784,0.114,<empty>,7.439,2.495,2.846,2.837,3.405,-3.0,-0.49,-0.33,"59,622",0.0,109461.42,116551.531,-50.815,0.794,6.218,-6.258,3.53,2.2,-2.2,3.02,NaN,0
05/22/2026,1630,/NKD[M26],63300,+1.78%,,.352,972.0,<empty>,63880.0,36890.0,61405.0,57860.0,51867.0,2.0,1.0,0.0,"5,550",200500.0,5984.0,6117.0,-19.0,19.0,-1.0,4.0,63880.0,50410.0,63880.0,63880.0,NaN,0
05/22/2026,1630,/SI[N26],75.915,-1.06%,,.6496,4.813,<empty>,121.785,32.8,77.928,76.212,65.295,-7.0,-0.27,-0.56,"25,615",0.0,44693.06,46932.406,-30.136,6.257,-6.086,2.629,97.58,61.43,-61.43,90.07,NaN,0
05/22/2026,1630,AAAU,44.44,-0.76%,,.1617,0.87,<empty>,54.71,32.15,45.46,46.03,42.95,-1.0,-0.28,-0.51,"1,934,692",0.0,2293996.8,2359846.76,12.59,2.4,-4.62,0.54,53.58,43.42,-43.42,-44.03,NaN,"2,737 M"
