Date,Time,Symbol,Last,%Change,StandardDeviation,52High,52Low,SimpleMovingAvg,SimpleMovingAvg,SimpleMovingAvg,A_MCADays_Streak,A_MACD_BRR,A_MACDH_D_BRR,Volume,A_VolumeSpike,VolumeAvg,VolumeAvg,VolumeRateOfChange,A_Perf2M,A_Perf2Wk,A_Perf3D,A_3mnHigh,A_3mnLow,A_3mnHighLow,A_3wkHighLow,A_EarningsDays
06/02/2026,1630,$COMP,27093.9009,+0.03%,369.95,27190.2067,19224.7032,26355.7,24497.89,23248.1,6.0,-0.86,0.26,<empty>,NaN,NaN,NaN,NaN,24.05,3.84,0.66,26707.12,20690.44,-20690.44,-25701.09,NaN
06/02/2026,1630,$DJI,51307.79,+0.45%,590.14,51369.61,41981.14,50114.08,48783.94,47800.29,9.0,1.0,0.55,"548,766,273",100100.03,5.1167342402E8,5.1995937934E8,10.11,10.18,3.26,1.26,50830.06,45057.44,-45057.44,-49236.08,NaN
06/02/2026,1630,$DXY,99.217,+0.02%,0.142,100.643,95.551,98.824,98.884,98.58,-10.0,0.62,-0.65,<empty>,NaN,NaN,NaN,NaN,-0.968,-0.093,0.225,101.44,98.19,-98.19,100.03,NaN
06/02/2026,1630,/6B[M26],1.3468,+0.08%,0.0042,1.3869,1.3011,1.3476,1.345,1.3424,9.0,0.34,0.43,"58,881",-100000.58,90879.36,104024.8125,-52.2047,1.2327,0.268,0.186,1.21,1.43,1.21,-1.1,NaN
06/02/2026,1630,/6C[M26],.72295,+0.01%,0.00253,0.74315,0.70845,0.72845,0.72861,0.72557,1.0,-0.15,0.3,"50,182",-200106.56,65555.74,73662.75,-8.82962,-0.01383,-0.78908,-0.43382,1.59,1.43,-1.43,-1.03,NaN
06/02/2026,1630,/6E[M26],1.16375,-0.01%,0.00289,1.21105,1.13655,1.16854,1.16939,1.17082,8.0,-0.39,0.4,"118,343",-200000.58,173859.54,207401.78125,-25.04718,0.09892,-0.28276,-0.18013,1.31,1.55,1.31,-1.07,NaN
06/02/2026,1630,/6J[M26],.0062595,-0.11%,2.29E-5,0.007078,0.006243,0.0063241,0.0063216,0.0064853,-2.0,-0.32,-0.23,"101,973",200109.19,148238.1,153071.328125,-6.6121455,-1.1995896,-0.7924558,-0.4611593,0.18,0.22,0.18,0.17,NaN
06/02/2026,1630,/BTC[M26],67645,-5.70%,3434.0,127240.0,60005.0,77538.0,75081.0,90033.0,-2.0,-1.0,0.0,"9,594",-100128.0,8653.0,8810.0,63.0,-1.0,-12.0,-8.0,83215.0,65090.0,83215.0,82725.0,NaN
06/02/2026,1630,/BZ[Q26],95.79,+0.85%,6.61,119.4,58.72,102.58,102.74,76.85,2.0,0.0,0.18,"36,789",0.0,46488.92,62732.11,26.34,-4.5,-12.34,3.58,119.59,80.62,119.59,-90.02,NaN
06/02/2026,1630,/CL[N26],93.39,+1.33%,5.34,119.48,54.98,97.07,97.46,72.26,2.0,0.01,0.33,"207,589",100321.59,309306.42,380325.34,4.13,-5.58,-8.88,5.49,119.59,73.62,119.59,-86.02,NaN
06/02/2026,1630,/GC[Q26],4517.5,+0.25%,58.4,5626.8,3250.5,4591.9,4642.1,4406.4,6.0,0.3,0.6,"97,644",0.0,146325.9,152792.9,-29.1,-5.6,-1.2,-0.2,5249.6,4100.5,-4100.5,-4396.0,NaN
06/02/2026,1630,/HG[N26],6.6765,+1.89%,0.1338,6.716,4.3325,6.381,6.0489,5.496,2.0,0.81,0.54,"43,428",0.0,44628.12,44874.1875,-32.1427,18.8518,5.3741,3.9225,7.13,5.49,7.13,7.13,NaN
06/02/2026,1630,/NG[N26],3.165,-0.44%,0.135,7.439,2.495,2.978,2.842,3.412,-2.0,0.55,-0.34,"130,673",0.0,112285.1,120061.828,-2.368,12.553,4.663,-4.178,3.59,2.26,-2.26,-3.17,NaN
06/02/2026,1630,/NKD[M26],67515,+0.32%,2245.0,67635.0,37320.0,63460.0,59429.0,52579.0,8.0,1.0,1.0,"4,964",100501.0,5998.0,6127.0,-27.0,24.0,10.0,3.0,63880.0,50410.0,-50410.0,-59355.0,NaN
06/02/2026,1630,/SI[N26],75.405,+0.20%,3.756,121.785,34.355,78.437,76.153,66.42,4.0,-0.23,0.58,"30,512",0.0,43288.18,44400.25,-49.892,0.273,-3.475,-0.672,90.58,61.49,-61.49,-72.03,NaN
06/02/2026,1630,AAAU,44.25,+0.17%,0.63,54.71,32.15,45.17,45.62,43.28,4.0,0.26,0.55,"877,830",0.0,2047121.0,2312358.85,2.44,-5.87,-1.54,-0.19,52.58,43.48,-43.48,-43.04,NaN
06/02/2026,1630,AAL,13.93,-2.86%,0.99,16.5,10.09,13.36,12.18,13.06,-4.0,-0.96,-0.66,"49,372,789",-100272.59,6.000190662E7,6.789095673E7,2.79,25.16,12.7,-4.91,14.06,10.44,15.04,15.04,35.0
06/02/2026,1630,AAPL,315.20,+2.90%,5.8,315.45,195.07,300.77,277.78,264.01,1.0,0.97,0.38,"44,374,556",300027.22,4.549930783E7,4.437901861E7,-3.0,23.3,5.83,0.86,311.06,246.44,-246.44,-286.17,41.0
06/02/2026,1630,ABBV,215.40,+1.16%,2.9,244.81,181.73,210.73,208.57,219.7,-3.0,-0.95,-0.81,"5,391,628",-100136.51,6231110.02,6625805.91,-23.46,0.2,2.86,-1.48,237.62,191.23,-191.23,220.06,40.0
06/02/2026,1630,ABNB,134.35,-2.55%,1.6,147.25,110.81,135.3,134.65,128.7,9.0,0.4,0.46,"3,470,880",0.0,3641617.94,3706835.44,-21.47,7.32,0.04,-0.11,147.28,122.41,147.28,-128.08,44.0
06/02/2026,1630,ABR,5.42,-1.28%,0.19,12.575,5.38,6.2,7.12,8.92,12.0,0.07,0.58,"3,789,597",-401162.15,3999812.98,3997182.6,-73.89,-27.83,-10.26,-3.9,9.62,5.04,9.62,9.17,41.0
06/02/2026,1630,ABT,86.97,-0.92%,1.47,139.06,81.97,86.21,93.45,116.17,-1.0,0.65,-0.88,"9,832,369",-100135.51,1.202008722E7,1.247334158E7,-40.02,-15.05,-1.07,0.78,114.62,82.15,-82.15,89.09,30.0
06/02/2026,1630,ACHC,24.42,+4.76%,1.3,30.1991,11.43,24.69,25.43,20.73,6.0,0.22,0.28,"2,305,475",-100568.23,2897351.1,2958098.67,-22.54,3.17,-3.52,2.78,30.2,22.22,30.2,-22.07,40.0
06/02/2026,1630,ACHR,6.74,-1.46%,0.35,14.62,4.8,6.36,5.93,7.95,-1.0,1.0,-0.58,"48,422,624",-100187.06,3.79383555E7,3.610704163E7,-10.77,29.37,13.85,-1.03,7.62,5.44,-5.44,7.03,47.0
06/02/2026,1630,ACI,15.59,+0.78%,0.53,22.78,15.36,16.18,16.64,17.56,1.0,-0.05,0.29,"4,300,465",-100131.15,6558190.66,6590563.2,-64.95,-8.35,-7.26,-2.07,18.39,16.14,18.39,18.09,33.0
