Date,Symbol,Outlook,Outlook Modifier
05/28/2026,DLTR,BULLISH,long
05/28/2026,CZR,BULLISH,long
05/28/2026,WST,BULLISH,long bench
05/28/2026,DGX,BULLISH,long bench
05/28/2026,LH,BULLISH,long
05/28/2026,ULS,BULLISH,long
05/28/2026,DAR,BULLISH,long
05/28/2026,PSX,BULLISH,long
05/28/2026,SNOW,BULLISH,long
05/28/2026,MRVL,BULLISH,long
05/28/2026,META,BULLISH,long
05/28/2026,WING,BEARISH,short
05/28/2026,DPZ,BEARISH,short
05/28/2026,DRI,BEARISH,short
05/28/2026,KSS,BEARISH,short
05/28/2026,LULU,BEARISH,short
05/28/2026,RMD,BEARISH,short bench
05/28/2026,RKT,BEARISH,short
05/28/2026,TSLA,BEARISH,short
05/28/2026,JACK,NEUTRAL,neutral
05/28/2026,DIN,NEUTRAL,neutral
05/28/2026,MGM,NEUTRAL,neutral
